               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.050643,            0.046594,           0.0013099,              0.3127,             0.21538,             0.15015,            0.044446,            0.075889,            0.063706,            0.004013,            0.009328,            0.009328,            0.011928
                  75,            0.048613,            0.045827,           0.0012066,             0.26377,             0.22467,             0.14634,            0.037289,            0.075704,             0.05979,           0.0043548,           0.0094414,           0.0094414,            0.010741
                  76,            0.049342,            0.046076,           0.0011021,              0.2982,             0.22588,              0.1642,            0.044542,            0.076208,            0.064927,           0.0045608,           0.0095543,           0.0095543,           0.0095543
                  77,            0.049926,            0.049616,           0.0012435,             0.31468,             0.23334,             0.16628,             0.04424,            0.074518,            0.064332,           0.0043817,           0.0095543,           0.0095543,           0.0095543
                  78,            0.048007,            0.046981,           0.0011045,             0.32889,             0.20964,             0.14133,            0.035607,            0.076032,             0.06619,           0.0054426,           0.0095427,           0.0095427,           0.0095427
                  79,            0.048433,            0.046302,           0.0011549,             0.23214,             0.19867,             0.12956,            0.034377,            0.075027,            0.065254,            0.005943,            0.009531,            0.009531,            0.009531
                  80,            0.048338,            0.047651,           0.0011389,             0.25783,             0.26435,             0.15901,            0.043202,            0.074053,              0.0648,           0.0050524,           0.0095192,           0.0095192,           0.0095192
                  81,            0.047996,            0.045928,           0.0012629,             0.40361,             0.20047,             0.15568,            0.042386,            0.075017,             0.06374,           0.0073602,           0.0095072,           0.0095072,           0.0095072
                  82,            0.048103,            0.046011,           0.0011617,             0.30885,              0.2013,              0.1501,            0.039883,            0.076427,            0.064644,           0.0058166,            0.009495,            0.009495,            0.009495
                  83,            0.047416,            0.046715,           0.0011195,             0.29617,             0.15947,             0.13272,            0.032227,            0.074972,            0.066697,           0.0069218,           0.0094828,           0.0094828,           0.0094828
                  84,              0.0472,            0.047572,          0.00093818,             0.22651,             0.16792,              0.1237,            0.034103,             0.07544,            0.065829,            0.005418,           0.0094704,           0.0094704,           0.0094704
                  85,            0.046712,            0.045712,           0.0010171,             0.26455,              0.2395,             0.14262,            0.037559,             0.07638,            0.067806,           0.0049556,           0.0094578,           0.0094578,           0.0094578
                  86,            0.045824,            0.044929,          0.00096219,              0.2724,             0.22435,             0.14331,            0.035657,            0.075877,             0.06806,           0.0052938,           0.0094451,           0.0094451,           0.0094451
                  87,            0.046597,            0.046189,           0.0008491,              0.3291,             0.22734,             0.15159,            0.042165,            0.077213,            0.067541,           0.0044192,           0.0094323,           0.0094323,           0.0094323
                  88,            0.046777,             0.04529,          0.00099232,             0.27076,             0.17578,              0.1218,            0.036145,            0.076787,            0.065523,           0.0042665,           0.0094194,           0.0094194,           0.0094194
                  89,            0.046362,             0.04518,           0.0009632,             0.21556,              0.2392,             0.14343,            0.038132,            0.076185,            0.065818,           0.0042304,           0.0094063,           0.0094063,           0.0094063
                  90,             0.04563,             0.04476,          0.00089107,             0.25535,             0.19971,             0.12856,            0.033862,            0.075479,            0.067037,           0.0040131,           0.0093931,           0.0093931,           0.0093931
                  91,            0.044502,            0.045879,          0.00098538,             0.22885,             0.26629,             0.15102,              0.0381,            0.077189,            0.068668,           0.0044303,           0.0093797,           0.0093797,           0.0093797
                  92,            0.045596,            0.042171,           0.0010342,             0.23058,             0.25062,             0.13339,            0.036624,            0.075243,            0.067232,           0.0072066,           0.0093662,           0.0093662,           0.0093662
                  93,            0.043439,            0.043666,          0.00076814,             0.37014,              0.2429,             0.17163,            0.045161,            0.076133,            0.066498,           0.0065111,           0.0093526,           0.0093526,           0.0093526
                  94,            0.042843,             0.04368,          0.00076666,             0.39727,             0.27445,             0.18852,            0.050579,            0.075992,            0.069149,           0.0051606,           0.0093389,           0.0093389,           0.0093389
                  95,            0.043416,            0.042439,          0.00083291,             0.29398,              0.1893,             0.13242,            0.037489,            0.076149,            0.070679,           0.0052545,            0.009325,            0.009325,            0.009325
                  96,             0.04229,            0.043365,          0.00093553,             0.42324,              0.1831,             0.14967,            0.041815,            0.076744,            0.067612,           0.0039937,            0.009311,            0.009311,            0.009311
                  97,            0.044512,            0.043667,          0.00080424,             0.29369,             0.22853,             0.15599,            0.040539,             0.07634,            0.065616,           0.0038606,           0.0092969,           0.0092969,           0.0092969
                  98,            0.043517,            0.042706,          0.00085275,             0.24007,             0.20517,             0.11586,            0.029898,            0.077185,            0.071532,           0.0048228,           0.0092826,           0.0092826,           0.0092826
                  99,            0.042172,            0.041748,          0.00091001,             0.24403,             0.20469,              0.1247,            0.034301,            0.077721,            0.069829,           0.0049084,           0.0092682,           0.0092682,           0.0092682
                 100,            0.042341,            0.042438,          0.00084934,             0.22933,             0.22108,             0.12359,            0.032245,            0.078807,            0.070663,           0.0062906,           0.0092537,           0.0092537,           0.0092537
                 101,            0.042949,            0.041415,          0.00077788,             0.27442,             0.18768,             0.12838,              0.0316,            0.077728,             0.06914,           0.0047528,            0.009239,            0.009239,            0.009239
                 102,            0.041475,            0.042071,          0.00088646,             0.35588,              0.2247,             0.15401,            0.042072,            0.076866,            0.070971,           0.0041337,           0.0092242,           0.0092242,           0.0092242
                 103,            0.041215,             0.04234,          0.00091033,             0.34269,             0.23148,             0.15865,             0.04233,            0.075836,            0.068079,           0.0044269,           0.0092093,           0.0092093,           0.0092093
                 104,            0.042475,            0.041749,          0.00071186,             0.36379,             0.22654,             0.17655,            0.051438,            0.077874,            0.070812,            0.004899,           0.0091943,           0.0091943,           0.0091943
                 105,            0.041784,            0.040784,          0.00076945,             0.37501,             0.24943,             0.18574,            0.052013,             0.07588,            0.071142,           0.0036954,           0.0091791,           0.0091791,           0.0091791
                 106,            0.040954,            0.041018,          0.00082948,             0.29416,             0.23794,             0.16573,            0.045275,            0.075548,            0.065863,           0.0036072,           0.0091638,           0.0091638,           0.0091638
                 107,            0.040637,            0.041292,          0.00070521,             0.27858,             0.22076,              0.1319,            0.036526,            0.076864,            0.065007,           0.0044444,           0.0091484,           0.0091484,           0.0091484
                 108,            0.040334,            0.041088,          0.00071218,             0.22619,             0.22654,             0.13714,            0.038287,            0.076389,            0.066351,           0.0068248,           0.0091329,           0.0091329,           0.0091329
                 109,            0.040113,            0.041476,          0.00073324,             0.24287,             0.27401,             0.14511,            0.037814,            0.076893,            0.068406,             0.00468,           0.0091172,           0.0091172,           0.0091172
                 110,            0.041029,             0.04007,          0.00073322,             0.26721,             0.22823,             0.15242,            0.040996,            0.076349,            0.070794,           0.0044193,           0.0091015,           0.0091015,           0.0091015
                 111,            0.040557,            0.040391,          0.00064642,             0.22747,             0.25481,              0.1378,            0.037449,            0.076852,            0.071859,           0.0050715,           0.0090856,           0.0090856,           0.0090856
                 112,            0.039834,            0.040583,          0.00084755,             0.29646,              0.2596,             0.15669,            0.042601,            0.075891,            0.068733,           0.0040286,           0.0090695,           0.0090695,           0.0090695
                 113,            0.040162,            0.038969,           0.0008167,             0.31749,             0.20084,             0.14268,             0.03666,             0.07762,             0.06959,            0.004399,           0.0090534,           0.0090534,           0.0090534
